EASINID,Name,Authorship,FirstIntroductionsInEU,PresentInCountries,Status,HasImpact,IsEUConcern,EUConcernName,IsOutermostConcern,ConcernedOutermostRegions,IsMSConcern,ConcernedMS,IsPartNative,NativeRange,IsHorizonScanning,LastRevisionDate,Kingdom,Phylum,Class,Order,Family,CommonNames,Synonyms,CBD_Pathways
R19422,'Candidatus Liberibacter solanacearum',"Fagen et al., 2014",,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Proteobacteria,Alphaproteobacteria,Incertae sedis,Incertae sedis,,,
R11525,'Candidatus Phytoplasma asteris',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Incertae sedis,,,
R19423,'Candidatus Phytoplasma brasiliense',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Incertae sedis,,,
R19424,'Candidatus Phytoplasma cirsii',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Incertae sedis,,,
R19425,'Candidatus Phytoplasma convolvuli',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Incertae sedis,,,
R19426,'Candidatus Phytoplasma cynodontis',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Incertae sedis,,,
R19427,'Candidatus Phytoplasma fragariae',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Incertae sedis,,,
R19428,'Candidatus Phytoplasma fraxini',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Incertae sedis,,,
R11526,'Candidatus Phytoplasma mali',,,,Q,TRUE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Incertae sedis,,,
R19429,'Candidatus Phytoplasma pini',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Incertae sedis,,,
R19430,'Candidatus Phytoplasma pruni',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,,,
R11527,'Candidatus Phytoplasma prunorum',,,,Q,TRUE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Incertae sedis,,,
R11528,'Candidatus Phytoplasma pyri',,,,Q,TRUE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Incertae sedis,,,
R19431,'Candidatus Phytoplasma rhamni',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,,,
R19432,'Candidatus Phytoplasma rubi',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,,,
R14622,'Candidatus Phytoplasma solani',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Incertae sedis,,,
R19433,'Candidatus Phytoplasma spartii',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,,,
R11529,'Candidatus Phytoplasma trifolii',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Incertae sedis,,,
R19434,'Candidatus Phytoplasma ulmi',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,,,
R19435,'Candidatus Phytoplasma ziziphi',,,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,,,
R00001,Abax parallelus,"(Duftschmid, 1812)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,,,
R00003,Abelia x grandiflora,(Rovelli ex André) Rehder,,,Q,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,,,
R00004,Abgrallaspis cyanophylli,"(Signoret, 1869)",,,C,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Diaspididae,,,
R19170,Abida polyodon,"(Draparnaud, 1801)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,,,
R00005,Abies alba,Mill.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,
R00006,Abies balsamea,(L.) Mill.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,
R18689,Abies balsamea var. phanerolepis,Fernald,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,
R00007,Abies cephalonica,Loudon,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,
